city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
oxford,nz,33,33,58,95,90,5
biggar,ca,55,55,48,93,90,6
kindia,gn,10,10,70,98,68,2
jonkoping,se,57,57,42,100,75,2
kifri,iq,34,34,44,81,0,3
leua,ao,-11,-11,65,98,76,1
korcula,hr,42,42,51,87,0,2
muriti,tz,-1,-1,75,100,68,10
makakilo city,us,21,21,81,71,40,9
alausi,ec,-2,-2,68,52,75,17
middle island,kn,40,40,51,49,1,5
basoko,cd,1,1,72,97,100,3
paredon,mx,-18,-18,56,75,76,2
ode,ng,7,7,74,90,24,5
chenzhou,cn,25,25,36,91,12,2
pandan niog,ph,6,6,85,98,36,3
mittweida,de,50,50,48,100,68,2
novo aripuana,br,-5,-5,78,91,12,2
stawell,au,-37,-37,48,81,36,6
marmaris,tr,36,36,59,87,75,5
cap malheureux,mu,-19,-19,77,78,40,13
gulu,ug,2,2,65,99,92,3
yuli,tw,10,10,70,29,8,6
semirom,ir,31,31,24,77,32,1
union,ph,47,47,47,76,20,3
orangeville,ca,43,43,40,69,90,6
kouroussa,gn,10,10,81,55,36,7
kangaba,ml,11,11,80,58,32,6
constantine,dz,36,36,53,54,0,3
yashan,cn,30,30,32,84,0,2
vung tau,vn,10,10,77,88,40,3
tiznit,ma,29,29,61,93,48,3
kalanguy,ru,51,51,-5,52,0,4
katakwi,ug,1,1,67,86,32,2
monteiro,br,-7,-7,83,42,0,12
telde,es,27,27,68,68,75,13
nioki,cd,-2,-2,73,95,68,2
kolda,sn,12,12,80,94,0,2
damaturu,ng,11,11,71,22,0,8
turochak,ru,52,52,35,84,88,5
dubovka,ru,49,49,32,100,0,4
iacu,br,-12,-12,76,77,88,13
presidente medici,br,-11,-11,79,88,92,2
subtanjalla,pe,-14,-14,71,30,75,6
tevriz,ru,57,57,5,73,36,12
nguru,ng,12,12,70,21,0,8
peceneaga,ro,45,45,50,71,44,9
yara,cu,20,20,84,76,24,2
oum hadjer,td,13,13,73,18,0,12
sturgeon falls,ca,46,46,33,86,75,18
manbij,sy,36,36,44,100,0,2
ushuaia,ar,-54,-54,39,80,75,29
ishim,ru,56,56,6,72,24,17
sahuaripa,mx,29,29,77,38,0,2
gizo,sb,31,31,65,77,0,2
hattiesburg,us,31,31,61,100,90,5
moctezuma,mx,29,29,74,40,0,2
kushiro,jp,43,43,29,84,32,3
sotnikovskoye,ru,45,45,44,96,88,5
gairo,tz,-6,-6,66,78,0,7
victor harbor,au,-35,-35,59,54,0,3
sao sebastiao do paraiso,br,-20,-20,63,100,100,16
gavle,se,60,60,42,100,92,2
excelsior springs,us,39,39,32,85,90,5
layton,us,41,41,41,41,40,5
katete,zm,0,0,60,88,12,2
oxapampa,pe,-10,-10,55,96,36,1
nakusp,ca,50,50,29,62,0,1
kigoma,tz,-4,-4,75,100,24,1
leskovac,rs,43,43,41,86,20,1
brenham,us,30,30,61,100,90,4
cambrils,es,41,41,59,87,80,5
kerikeri,nz,-35,-35,64,77,92,15
mapimi,mx,25,25,86,30,40,4
russas,br,-4,-4,83,58,0,14
vilhena,br,-12,-12,78,74,40,5
nakskov,dk,54,54,49,98,92,5
dovers,vc,12,12,80,100,92,19
kone,nc,21,21,65,89,0,2
lujan,ar,-46,-46,62,54,100,19
trapani,it,38,38,59,93,0,4
valkeakoski,fi,61,61,41,100,75,5
hithadhoo,mv,0,0,80,100,64,12
rognan,no,67,67,44,65,0,16
stillwater,us,36,36,40,96,90,9
gannan,cn,47,47,24,76,76,10
qianan,cn,44,44,35,93,92,5
uch,pk,45,45,52,81,0,9
kadoma,zw,-18,-18,63,64,8,12
matata,nz,-37,-37,61,100,92,17
smolensk,ru,54,54,35,98,88,3
anjad,in,22,22,61,70,0,3
easton,us,42,42,51,49,0,11
kurush,ru,41,41,23,86,0,2
karuzi,bi,-3,-3,56,90,24,2
hojai,in,26,26,58,93,0,1
georgiyevskoye,ru,44,44,37,98,0,1
wenchi,gh,7,7,80,73,12,5
jishu,cn,44,44,36,96,92,10
tabou,ci,4,4,81,100,12,7
iaciara,br,-14,-14,77,87,88,3
diplo,pk,24,24,61,65,0,2
atherton,au,53,53,49,71,8,9
kumba,cm,4,4,69,99,64,1
borodino,ru,55,55,33,89,80,14
odesskoye,ru,54,54,16,76,36,16
jalingo,ng,10,10,74,28,0,7
rio tuba,ph,8,8,83,94,88,13
talaya,ru,55,55,31,93,92,19
vinhedo,br,-23,-23,65,77,90,13
buchanan,lr,5,5,78,94,75,3
taicheng,cn,22,22,59,93,12,4
helena,us,46,46,33,60,1,8
texarkana,us,33,33,55,71,90,4
sergeyevka,kz,53,53,13,75,12,13
tias,es,28,28,68,68,20,4
rosendal,no,59,59,45,100,92,2
jadu,ly,31,31,43,78,0,2
chichibu,jp,35,35,56,93,90,3
sainte-adele,ca,45,45,43,60,75,6
kaputa,zm,-8,-8,63,96,76,0
yertsevo,ru,60,60,29,89,80,3
huaiyuan,cn,32,32,36,98,0,3
butte,us,46,46,30,53,1,14
ananas,br,19,19,74,86,20,3
greeneville,us,36,36,62,48,90,4
taseyevo,ru,57,57,32,81,68,9
craigieburn,au,-37,-37,54,71,0,16
bochil,mx,17,17,87,45,40,2
santa ana,pe,13,13,86,48,0,4
ouango,cf,4,4,73,93,24,2
mapiripan,co,2,2,85,73,36,5
henties bay,na,-22,-22,60,97,0,4
capoterra,it,39,39,58,87,20,4
yendi,gh,9,9,75,87,64,4
uvira,cd,-3,-3,60,100,48,1
arkhara,ru,49,49,30,90,56,6
mhlume,sz,-26,-26,54,82,0,2
flinders,au,-34,-34,59,62,0,6
arandis,na,-22,-22,67,83,0,2
acari,pe,-6,-6,82,46,0,12
alekseyevka,kz,53,53,35,93,90,6
bhuban,in,20,20,70,92,32,3
jamsa,fi,61,61,42,100,90,3
marsabit,ke,2,2,69,90,8,2
punta alta,ar,-27,-27,89,46,0,6
xining,cn,36,36,6,65,0,2
sriperumbudur,in,12,12,77,94,40,2
san isidro,ph,16,16,70,98,92,2
marzuq,ly,14,14,51,93,0,2
seredka,ru,58,58,36,100,88,7
los andes,cl,-32,-32,82,21,0,19
dutlwe,bw,-23,-23,63,42,0,11
cabo rojo,us,18,18,75,100,75,7
barvinkove,ua,48,48,23,70,0,2
dalianwan,cn,39,39,51,76,0,13
shihezi,cn,44,44,30,85,12,2
nago,jp,45,45,50,100,90,16
grozesti,ro,44,44,46,70,0,4
sosnovo-ozerskoye,ru,52,52,0,60,0,2
san fernando,mx,-34,-34,86,28,0,10
muleba,tz,-1,-1,71,92,44,5
bugaan,ph,14,14,77,100,90,5
albany,au,42,42,45,45,75,9
padampur,in,29,29,59,73,0,2
jiblah,ye,13,13,52,94,36,1
creel,mx,27,27,67,23,0,6
fraserburgh,gb,57,57,50,93,75,28
rudnogorsk,ru,57,57,22,97,32,7
bozdar,pk,27,27,61,83,0,1
fort smith,us,35,35,54,47,90,9
erie,us,42,42,38,57,90,4
williamsport,us,41,41,50,43,40,3
zhoucheng,cn,31,31,40,89,0,4
bobrov,ru,51,51,32,90,88,2
lubango,ao,-14,-14,64,63,0,1
akot,in,21,21,61,67,0,3
sinjar,iq,35,35,44,91,8,3
powell river,ca,49,49,42,87,90,2
humaita,py,-24,-24,74,64,75,6
mgandu,tz,-5,-5,70,48,0,12
aguimes,es,27,27,68,68,75,13
cuamba,mz,-14,-14,68,85,88,10
salto,uy,-31,-31,84,54,0,12
rudnya,ru,50,50,33,89,92,3
kamsack,ca,51,51,14,66,1,9
tosya,tr,41,41,34,88,64,2
gondar,et,41,41,51,93,75,3
sattahip,th,12,12,78,83,75,3
kemi,fi,65,65,41,93,90,4
nizhniy kuranakh,ru,58,58,13,50,0,8
starobaltachevo,ru,56,56,24,83,48,11
vanino,ru,53,53,34,98,88,3
adwa,et,14,14,52,97,36,2
gandorhun,sl,8,8,74,92,24,3
fomboni,km,-12,-12,79,100,92,11
say,ne,13,13,84,16,0,4
vyshestebliyevskaya,ru,45,45,44,81,0,2
mirzapur,bd,25,25,59,78,0,2
azare,ng,11,11,74,19,0,10
ko samui,th,9,9,77,100,92,14
qom,ir,34,34,48,100,88,2
charyshskoye,ru,51,51,33,87,80,16
tigzirt,dz,36,36,47,87,0,2
mvuma,zw,-19,-19,53,91,20,9
castle douglas,gb,54,54,47,100,92,17
georgetown,sh,6,6,84,79,20,11
chipata,zm,-13,-13,67,73,12,14
bjornevatn,no,69,69,31,100,75,5
mwandiga,tz,-4,-4,75,100,24,1
avera,pf,33,33,66,84,90,5
vikersund,no,59,59,40,100,92,2
sovetskaya,ru,44,44,31,84,0,2
jega,ng,12,12,76,34,0,7
inongo,cd,-1,-1,71,99,80,1
dodge city,us,37,37,33,91,90,9
tivaouane,sn,14,14,80,59,32,8
lyngdal,no,58,58,50,100,75,2
saravan,la,39,39,46,87,40,6
zlobin,by,45,45,53,93,0,4
tapiramuta,br,-11,-11,77,66,100,13
molchanovo,ru,57,57,31,91,88,15
montale,it,43,43,53,93,0,3
masterton,nz,-40,-40,63,77,76,18
ende,id,-8,-8,80,100,0,2
los alamos,us,35,35,55,13,1,14
zangakatun,am,39,39,39,93,32,2
moranbah,au,-22,-22,63,44,0,12
arshan,ru,14,14,53,91,0,4
dongning,cn,44,44,34,98,92,7
saint-louis,re,47,47,43,100,75,2
kinango,ke,-4,-4,77,94,20,6
melfort,ca,52,52,12,72,90,9
nijar,es,36,36,60,82,40,19
maues,br,-3,-3,84,82,32,2
gaya,ne,24,24,54,82,0,2
hayesville,us,35,35,59,77,90,3
bayan,kw,47,47,0,53,0,4
guiyang,cn,26,26,50,93,75,4
salisbury,us,51,51,49,76,40,18
tsybuliv,ua,49,49,28,77,0,4
wahpeton,us,46,46,20,67,64,8
denizli,tr,37,37,51,71,75,8
agra,in,27,27,53,81,5,2
cienaga,co,11,11,87,59,40,11
seydisehir,tr,37,37,36,100,8,1
fianarantsoa,mg,-21,-21,58,91,0,2
young,au,-32,-32,83,49,0,12
yangjiang,cn,21,21,70,100,64,16
pandan,ph,11,11,82,100,80,19
broken hill,au,-31,-31,50,58,36,6
salta,ar,-24,-24,74,64,75,6
santa maria da vitoria,br,-13,-13,81,58,80,4
topsham,us,50,50,51,76,20,20
velyka lepetykha,ua,47,47,37,100,0,5
samana,do,0,0,77,88,75,9
singarayakonda,in,15,15,67,88,0,2
mashhad,ir,36,36,41,100,56,3
el guamo,co,10,10,84,87,12,8
boissevain,ca,49,49,12,78,90,13
resistencia,ar,-27,-27,88,49,0,8
isla vista,us,34,34,71,31,1,9
yazman,pk,36,36,39,86,0,1
moindou,nc,-21,-21,80,51,0,3
mangai,cd,-4,-4,74,95,88,2
burnie,au,-41,-41,52,100,100,11
miracema do tocantins,br,-9,-9,76,90,44,4
bealanana,mg,-14,-14,61,83,12,1
corpus christi,py,27,27,84,71,75,11
garoua,cm,9,9,82,48,0,4
fayaoue,nc,-20,-20,75,100,0,15
tlalnepantla,mx,19,19,76,20,20,5
saint-francois,gp,46,46,46,87,0,2
bouloupari,nc,-21,-21,80,51,0,3
indi,in,17,17,76,68,56,4
muroran,jp,42,42,57,71,75,31
zharkent,kz,44,44,10,61,76,1
anito,ph,12,12,81,100,44,16
wadi musa,jo,30,30,53,88,20,1
consett,gb,54,54,48,76,20,12
hesla,in,24,24,56,82,24,2
kalemie,cd,-5,-5,75,100,24,3
freilassing,de,47,47,37,100,0,1
conguaco,gt,14,14,87,48,0,4
puno,pe,-15,-15,64,27,40,10
asenovgrad,bg,42,42,44,100,24,4
hue,vn,16,16,77,100,75,3
bastia,fr,44,44,59,87,75,4
kholmy,ua,51,51,23,68,0,2
leirvik,fo,59,59,49,93,40,11
urusha,ru,54,54,12,75,92,2
george,za,6,6,80,89,0,6
srisailam,in,16,16,65,90,0,2
petukhovo,ru,55,55,10,87,36,17
sondrio,it,46,46,46,93,20,2
moura,pt,38,38,51,81,20,8
nova vicosa,br,-17,-17,75,91,92,15
nagapattinam,in,10,10,78,87,76,7
baisha,cn,19,19,70,98,88,2
urzhum,ru,57,57,20,85,0,7
viransehir,tr,37,37,40,80,0,3
komarikhinskiy,ru,58,58,15,85,0,4
casian,ph,44,44,50,76,90,10
colan,pe,7,7,85,75,32,9
sao domingos,br,-13,-13,78,60,44,4
gorom-gorom,bf,14,14,77,25,48,8
wanning,cn,48,48,51,76,75,5
bluefields,ni,12,12,84,83,40,4
kruisfontein,za,-34,-34,56,88,0,6
north auburn,us,47,47,47,61,1,3
hirado,jp,33,33,62,82,75,6
dmytrivka,ua,50,50,31,81,0,2
mpika,zm,-11,-11,65,87,80,14
haimen,cn,31,31,46,100,0,8
malappuram,in,11,11,77,83,20,2
tromso,no,69,69,30,92,0,3
monroe,us,41,41,41,56,90,3
bako,et,9,9,73,58,0,4
kirzhach,ru,56,56,30,92,88,2
helsinki,fi,60,60,42,100,75,6
omboue,ga,-1,-1,80,100,76,8
dzhebariki-khaya,ru,62,62,-11,57,0,2
bejar,es,40,40,49,100,24,2
bose,cn,45,45,45,100,90,2
laranja da terra,br,-19,-19,66,96,92,7
dillon,us,45,45,30,75,1,4
thatta,pk,31,31,59,72,40,3
port lincoln,au,-34,-34,52,100,8,3
grand-lahou,ci,5,5,79,82,8,6
canutama,br,-6,-6,80,90,24,2
bumba,cd,2,2,73,95,68,4
kuala selangor,my,3,3,77,94,75,3
preobrazheniye,ru,42,42,47,96,92,8
aldan,ru,58,58,13,50,0,8
si bun ruang,th,16,16,69,92,76,3
karaton,kz,-6,-6,78,94,75,3
brazzaville,cg,-4,-4,73,94,75,2
gara,hu,46,46,44,87,0,5
canala,nc,-21,-21,80,51,0,3
gravatai,br,-29,-29,75,60,0,25
uaua,br,-9,-9,89,33,12,10
caticlan,ph,11,11,82,100,80,19
purwodadi,id,-7,-7,72,99,68,2
uba,br,10,10,68,37,0,4
burriana,es,39,39,60,93,75,6
betwagan,ph,17,17,63,95,44,2
leeton,au,-34,-34,53,46,12,3
muisne,ec,0,0,78,77,56,6
simbahan,ph,6,6,85,96,48,6
